soil_moisture,temperature,humidity,soil_type,season,recommended_crop
71.3,27.0,85.1,clay_loam,kharif,sugarcane
27.4,12.3,58.6,loamy,rabi,mustard
52.7,22.7,80.7,loamy,kharif,maize
60.1,29.6,72.5,clay_loam,kharif,maize
82.0,27.7,77.2,clay,kharif,rice
91.3,26.6,79.9,clay,kharif,rice
43.2,36.5,63.2,sandy,kharif,cotton
59.7,26.4,66.7,sandy,kharif,sunflower
60.9,16.6,51.3,clay_loam,rabi,wheat
44.7,22.9,64.0,sandy,kharif,sunflower
41.5,20.0,65.3,clay_loam,rabi,wheat
81.4,30.8,75.4,clay,kharif,rice
88.5,30.5,80.1,silty,kharif,rice
35.3,31.4,63.8,sandy,kharif,cotton
74.7,31.3,74.0,clay,kharif,rice
33.0,29.5,57.7,loamy,kharif,cotton
38.8,23.1,56.3,loamy,rabi,chickpea
41.4,14.6,60.3,sandy,rabi,mustard
68.3,24.4,65.8,clay_loam,kharif,maize
42.9,30.3,59.6,loamy,kharif,cotton
38.7,37.0,58.1,loamy,kharif,cotton
31.5,31.0,62.0,loamy,kharif,cotton
42.6,23.5,52.3,sandy,kharif,sunflower
45.7,22.5,61.2,clay_loam,rabi,wheat
32.2,19.6,52.1,loamy,rabi,chickpea
46.8,24.6,65.7,loamy,rabi,wheat
49.2,25.2,66.9,silty,rabi,wheat
88.5,29.3,82.8,clay,kharif,sugarcane
48.5,27.2,50.4,loamy,kharif,sunflower
45.9,19.2,57.4,clay_loam,rabi,wheat
29.8,20.2,54.2,loamy,rabi,mustard
31.2,19.8,55.9,clay_loam,rabi,chickpea
64.7,22.6,64.0,clay_loam,kharif,maize
46.7,24.8,55.4,sandy,kharif,sunflower
42.5,17.0,45.8,loamy,rabi,wheat
75.3,31.1,83.1,clay,kharif,sugarcane
37.4,19.8,44.2,sandy,rabi,mustard
30.7,22.0,61.6,loamy,rabi,chickpea
73.8,33.6,75.5,clay,kharif,sugarcane
74.9,31.3,82.1,clay,kharif,sugarcane
40.4,24.0,57.7,loamy,rabi,chickpea
22.8,15.6,39.0,loamy,rabi,mustard
59.4,15.8,61.0,loamy,rabi,wheat
22.9,11.3,58.1,sandy,rabi,mustard
93.8,32.1,84.0,silty,kharif,rice
22.6,17.1,50.4,loamy,rabi,mustard
55.7,23.2,69.0,loamy,kharif,maize
51.2,20.0,57.0,loamy,kharif,maize
79.7,34.2,81.8,clay,kharif,rice
64.4,22.5,71.4,clay_loam,kharif,maize
93.8,32.5,86.9,clay,kharif,rice
53.1,22.1,59.3,loamy,kharif,sunflower
35.8,37.2,50.0,loamy,kharif,cotton
51.2,29.2,68.0,loamy,kharif,sunflower
64.4,31.0,78.0,clay_loam,kharif,maize
41.6,26.1,59.6,silty,rabi,wheat
47.7,29.3,55.2,sandy,kharif,sunflower
59.4,23.4,50.7,sandy,kharif,sunflower
38.1,14.2,62.7,loamy,rabi,chickpea
46.3,21.8,66.3,loamy,kharif,sunflower
56.3,24.3,57.0,sandy,kharif,sunflower
60.3,21.5,75.7,loamy,kharif,maize
44.6,26.7,61.1,loamy,rabi,chickpea
71.6,23.3,69.0,clay_loam,kharif,maize
52.0,28.1,71.0,loamy,kharif,sunflower
40.8,26.6,56.3,loamy,kharif,sunflower
58.0,26.7,63.7,loamy,kharif,sunflower
31.1,21.2,61.6,clay_loam,rabi,chickpea
50.6,22.6,58.1,sandy,kharif,sunflower
31.5,13.2,48.0,loamy,rabi,mustard
63.3,30.4,73.4,clay,kharif,sugarcane
41.4,20.5,67.1,clay_loam,rabi,chickpea
39.0,15.9,50.5,sandy,rabi,mustard
88.0,30.3,79.7,clay,kharif,rice
58.4,21.7,58.0,sandy,kharif,sunflower
50.0,17.7,57.0,loamy,rabi,wheat
44.3,12.7,43.9,sandy,rabi,mustard
42.7,17.1,57.2,silty,rabi,wheat
45.2,35.2,47.2,sandy,kharif,cotton
75.9,24.9,79.3,clay_loam,kharif,sugarcane
51.7,27.4,61.8,loamy,kharif,maize
88.3,33.4,77.1,silty,kharif,rice
53.6,26.0,62.0,loamy,kharif,sunflower
58.4,25.1,77.3,loamy,kharif,maize
56.3,28.4,63.0,loamy,kharif,sunflower
34.0,9.1,60.8,loamy,rabi,mustard
51.4,34.8,61.1,loamy,kharif,cotton
30.1,16.3,64.9,clay_loam,rabi,chickpea
49.5,15.7,68.9,silty,rabi,wheat
42.3,33.5,52.7,sandy,kharif,cotton
40.2,26.4,49.8,clay_loam,rabi,chickpea
97.6,24.2,82.0,clay,kharif,rice
44.1,14.6,56.2,loamy,rabi,chickpea
80.4,27.6,84.8,clay_loam,kharif,sugarcane
87.8,34.5,87.9,clay,kharif,rice
50.0,18.8,59.0,clay_loam,rabi,chickpea
59.5,26.5,71.4,loamy,kharif,maize
86.6,29.4,86.4,silty,kharif,rice
47.1,28.1,52.3,clay_loam,rabi,chickpea
84.8,25.4,87.3,clay_loam,kharif,sugarcane
48.8,21.1,49.0,clay_loam,rabi,wheat
89.5,26.4,86.0,clay,kharif,rice
68.8,29.3,78.3,clay_loam,kharif,sugarcane
39.2,23.5,50.6,clay_loam,rabi,chickpea
44.0,19.2,52.3,loamy,rabi,chickpea
34.5,16.3,55.2,loamy,rabi,mustard
42.0,22.4,53.7,clay_loam,rabi,wheat
47.9,23.9,52.2,silty,rabi,wheat
50.7,22.6,70.0,sandy,kharif,sunflower
52.7,27.9,53.0,sandy,kharif,sunflower
86.2,30.7,83.6,clay,kharif,rice
43.0,26.6,53.2,loamy,kharif,sunflower
63.9,21.5,78.6,loamy,kharif,maize
81.0,28.0,89.6,silty,kharif,rice
57.9,20.0,60.6,loamy,kharif,sunflower
32.6,18.9,56.0,loamy,rabi,mustard
91.2,33.9,83.5,clay,kharif,rice
69.6,30.7,75.8,clay_loam,kharif,sugarcane
55.2,30.9,52.5,sandy,kharif,sunflower
44.5,24.1,56.0,sandy,kharif,sunflower
54.9,29.6,55.0,loamy,kharif,sunflower
47.9,31.3,57.9,sandy,kharif,sunflower
51.2,22.0,75.9,loamy,kharif,maize
55.2,23.0,66.6,loamy,kharif,maize
53.3,18.9,54.9,silty,rabi,wheat
60.5,23.9,81.0,loamy,kharif,maize
63.5,31.6,73.5,clay,kharif,sugarcane
36.3,38.6,61.4,loamy,kharif,cotton
39.6,22.4,51.1,sandy,kharif,sunflower
31.1,36.2,51.3,sandy,kharif,cotton
79.0,24.0,75.3,clay_loam,kharif,sugarcane
36.9,12.1,45.9,loamy,rabi,mustard
48.2,26.6,63.4,sandy,kharif,sunflower
45.5,37.3,58.5,loamy,kharif,cotton
47.1,20.0,54.4,clay_loam,rabi,wheat
46.3,24.3,53.4,clay_loam,rabi,chickpea
29.5,9.6,56.5,sandy,rabi,mustard
51.1,29.7,56.4,sandy,kharif,sunflower
45.2,23.5,62.4,clay_loam,rabi,chickpea
45.4,21.1,69.4,loamy,kharif,sunflower
33.0,13.7,44.6,loamy,rabi,mustard
52.4,12.6,51.5,clay_loam,rabi,wheat
70.9,29.0,82.0,clay_loam,kharif,sugarcane
42.0,24.5,59.5,sandy,kharif,sunflower
44.1,38.4,58.3,sandy,kharif,cotton
51.9,26.1,58.1,sandy,kharif,sunflower
43.5,29.7,62.7,loamy,kharif,cotton
48.2,14.7,54.3,sandy,rabi,mustard
36.5,15.3,54.1,sandy,rabi,mustard
39.5,32.6,53.4,sandy,kharif,cotton
63.7,24.1,69.4,clay_loam,kharif,maize
25.3,12.8,49.3,sandy,rabi,mustard
84.7,32.6,68.0,clay_loam,kharif,sugarcane
45.9,24.3,58.2,loamy,rabi,wheat
90.6,34.2,76.9,clay,kharif,rice
59.8,29.0,69.2,loamy,kharif,maize
45.0,13.4,60.4,clay_loam,rabi,wheat
79.1,27.7,80.0,clay_loam,kharif,sugarcane
42.9,38.4,52.8,loamy,kharif,cotton
49.4,19.6,60.4,clay_loam,rabi,chickpea
76.4,29.9,82.4,silty,kharif,rice
54.4,24.2,60.0,loamy,kharif,sunflower
31.1,15.7,43.5,loamy,rabi,mustard
54.6,26.1,57.5,loamy,kharif,sunflower
62.7,24.8,68.7,loamy,kharif,maize
84.2,28.9,81.9,silty,kharif,rice
39.5,17.6,69.8,loamy,rabi,wheat
44.6,21.0,65.3,clay_loam,rabi,chickpea
86.1,29.2,74.5,clay,kharif,sugarcane
44.8,24.3,59.2,sandy,kharif,sunflower
75.1,28.5,78.2,silty,kharif,rice
39.1,12.0,57.3,sandy,rabi,mustard
44.1,34.5,47.8,sandy,kharif,cotton
51.9,20.1,59.7,clay_loam,rabi,wheat
33.4,30.7,57.4,loamy,kharif,cotton
48.6,23.8,52.2,loamy,rabi,wheat
86.1,31.1,83.6,silty,kharif,rice
27.7,16.8,62.8,clay_loam,rabi,chickpea
78.0,34.1,81.7,silty,kharif,rice
63.1,27.4,57.8,loamy,kharif,maize
38.1,23.6,58.9,loamy,rabi,chickpea
51.9,16.3,64.0,clay_loam,rabi,wheat
67.7,26.9,76.1,clay,kharif,sugarcane
48.5,26.2,50.1,sandy,kharif,sunflower
35.3,23.2,57.3,loamy,rabi,chickpea
83.4,34.0,81.3,clay_loam,kharif,sugarcane
55.3,23.4,71.8,loamy,rabi,wheat
39.0,36.6,51.5,sandy,kharif,cotton
49.3,26.9,48.1,loamy,kharif,sunflower
43.9,20.3,55.7,loamy,rabi,chickpea
57.0,24.7,61.7,loamy,kharif,sunflower
48.4,36.2,54.7,loamy,kharif,cotton
50.2,25.8,52.1,loamy,kharif,sunflower
30.1,19.7,58.1,sandy,rabi,mustard
47.3,19.9,53.6,loamy,rabi,mustard
40.8,29.1,58.2,loamy,kharif,cotton
43.2,18.4,43.0,loamy,rabi,mustard
35.1,17.9,52.6,loamy,rabi,chickpea
57.4,25.7,60.6,loamy,kharif,maize
43.8,32.7,56.7,sandy,kharif,cotton
66.5,19.6,77.0,clay_loam,kharif,maize
35.5,15.6,49.8,loamy,rabi,chickpea
71.9,35.2,69.7,clay_loam,kharif,sugarcane
80.2,23.6,75.5,clay,kharif,rice
55.7,20.3,61.0,clay_loam,rabi,wheat
30.2,17.2,60.0,sandy,rabi,mustard
58.2,19.1,62.3,clay_loam,kharif,maize
60.0,24.1,68.4,loamy,rabi,wheat
46.2,25.6,57.2,loamy,kharif,sunflower
61.9,26.6,78.4,clay,kharif,sugarcane
71.8,26.9,84.9,clay,kharif,rice
78.2,34.5,70.8,clay_loam,kharif,sugarcane
49.4,14.9,58.2,clay_loam,rabi,chickpea
53.2,22.4,68.7,loamy,kharif,sunflower
65.9,22.5,74.7,clay_loam,kharif,maize
45.8,20.4,66.4,sandy,kharif,sunflower
46.8,15.1,56.6,loamy,rabi,wheat
47.2,15.0,55.9,clay_loam,rabi,chickpea
41.0,17.0,57.1,loamy,rabi,mustard
54.4,22.4,50.9,loamy,rabi,wheat
86.5,31.3,79.2,clay,kharif,sugarcane
46.0,23.8,48.3,clay_loam,rabi,chickpea
36.1,10.2,46.8,sandy,rabi,mustard
49.6,22.2,56.5,loamy,kharif,sunflower
59.0,31.8,82.7,clay,kharif,sugarcane
68.4,23.1,76.3,clay_loam,kharif,maize
41.0,22.7,55.6,loamy,kharif,sunflower
73.6,31.6,60.0,loamy,kharif,maize
64.0,17.7,64.0,loamy,kharif,maize
37.7,15.8,56.1,loamy,rabi,mustard
73.7,32.5,87.1,clay,kharif,rice
79.1,33.4,83.7,clay,kharif,rice
59.2,26.4,65.3,loamy,kharif,maize
50.6,24.5,62.9,loamy,kharif,sunflower
53.6,28.8,74.8,clay_loam,kharif,maize
43.2,25.6,66.0,clay_loam,rabi,chickpea
54.2,24.8,67.1,clay_loam,kharif,maize
52.5,17.9,58.7,silty,rabi,wheat
49.5,23.4,49.3,clay_loam,rabi,wheat
82.1,27.2,86.6,clay,kharif,rice
67.4,26.4,71.9,clay_loam,kharif,maize
43.1,23.7,50.8,loamy,kharif,sunflower
65.1,20.9,78.3,loamy,kharif,maize
62.3,21.7,70.7,loamy,kharif,maize
33.1,16.9,48.7,sandy,rabi,mustard
49.4,35.6,53.7,loamy,kharif,cotton
46.8,15.4,44.9,loamy,rabi,chickpea
43.6,28.3,60.0,sandy,kharif,sunflower
29.9,15.0,41.5,sandy,rabi,mustard
61.8,22.8,68.8,clay_loam,kharif,maize
37.8,22.2,42.4,loamy,rabi,mustard
35.9,22.6,53.2,clay_loam,rabi,chickpea
45.5,36.9,66.1,sandy,kharif,cotton
87.4,27.0,78.5,clay,kharif,rice
41.9,18.3,52.4,clay_loam,rabi,chickpea
68.8,33.2,81.8,clay,kharif,sugarcane
39.9,15.1,48.9,sandy,rabi,mustard
82.5,26.4,73.8,clay,kharif,rice
91.3,31.1,85.6,silty,kharif,rice
27.9,17.8,54.8,sandy,rabi,mustard
40.3,18.4,64.7,loamy,rabi,wheat
31.6,17.7,52.9,sandy,rabi,mustard
46.6,18.6,46.2,clay_loam,rabi,chickpea
50.8,18.2,69.0,clay_loam,rabi,wheat
44.6,26.4,67.5,loamy,kharif,sunflower
44.4,19.3,48.5,loamy,rabi,mustard
31.7,16.4,62.6,clay_loam,rabi,chickpea
72.6,33.9,80.5,clay,kharif,rice
46.3,25.5,60.2,clay_loam,rabi,wheat
80.7,29.0,77.7,clay,kharif,sugarcane
46.1,15.3,49.8,loamy,rabi,mustard
39.4,10.5,56.1,loamy,rabi,mustard
50.8,16.0,72.0,loamy,rabi,wheat
31.4,18.1,60.8,clay_loam,rabi,chickpea
55.9,24.2,66.9,silty,rabi,wheat
79.5,30.3,81.0,clay_loam,kharif,sugarcane
50.1,19.0,66.6,loamy,kharif,sunflower
43.3,13.1,44.0,loamy,rabi,mustard
65.7,22.9,76.1,clay,kharif,sugarcane
47.1,21.6,59.3,loamy,kharif,sunflower
35.1,23.7,67.4,clay_loam,rabi,chickpea
78.3,27.2,76.2,silty,kharif,rice
40.0,14.2,48.5,loamy,rabi,mustard
39.4,24.4,68.5,sandy,kharif,sunflower
76.2,31.3,78.3,clay,kharif,rice
55.3,28.9,63.4,loamy,kharif,maize
72.4,33.1,77.4,silty,kharif,rice
34.4,36.1,63.4,sandy,kharif,cotton
59.6,27.8,70.0,clay_loam,kharif,maize
80.6,31.7,80.0,clay_loam,kharif,sugarcane
55.8,26.6,60.2,loamy,kharif,maize
53.6,27.6,60.5,sandy,kharif,sunflower
53.0,19.6,61.0,loamy,kharif,sunflower
30.6,17.8,38.4,sandy,rabi,mustard
42.6,13.9,40.9,sandy,rabi,mustard
53.9,29.4,78.5,loamy,kharif,maize
36.5,30.2,50.6,sandy,kharif,cotton
33.6,13.7,45.3,loamy,rabi,mustard
36.6,18.2,43.4,loamy,rabi,chickpea
37.9,38.4,53.7,loamy,kharif,cotton
44.3,21.0,71.5,loamy,kharif,sunflower
92.9,34.9,91.1,silty,kharif,rice
52.8,17.1,52.9,loamy,rabi,chickpea
28.9,17.9,51.1,sandy,rabi,mustard
60.7,25.2,62.1,loamy,kharif,maize
47.5,21.2,50.1,clay_loam,rabi,chickpea
54.2,23.7,76.6,clay_loam,kharif,maize
41.8,17.3,58.2,clay_loam,rabi,wheat
58.3,25.3,61.9,sandy,kharif,sunflower
43.1,22.4,51.9,loamy,kharif,sunflower
43.7,19.6,58.6,silty,rabi,wheat
